,Gene,Degree
108,C3orf34,12
109,ZNF777,11
110,ZNF557,11
111,ZNF430,11
112,ZNF131,11
113,XRCC2,11
114,VPS41,11
115,TPM3,11
116,TNFRSF10B,11
117,TAF13,11
118,SNRNP48,11
119,SNORD3D,11
120,SLC4A5,11
121,SLAMF6,11
122,PPA2,11
123,PHAX,11
124,OCIAD1,11
125,NUP107,11
126,LOC729603,11
127,LOC728457,11
128,LOC653086,11
129,LOC284821,11
130,LOC100132727,11
131,IL18,11
132,IER3,11
133,GSR,11
134,GNB4,11
135,FKBP1P1,11
136,FKBP14,11
137,CPPED1,11
138,CCR6,11
139,C19orf31,11
140,BLZF1,11
141,SNHG10,10
142,SMCR5,10
143,SC4MOL,10
144,PDCD7,10
145,MEFV,10
146,MBOAT2,10
147,MBD4,10
148,LOC729439,10
149,LOC729090,10
150,LOC728903,10
151,LOC100130229,10
152,LILRB3,10
153,KLHL8,10
154,KLHL28,10
155,KCNH6,10
156,GLIPR1,10
157,FLJ44124,10
158,FAM177A1,10
159,EVI5L,10
160,DUXAP3,10
161,COX19,10
162,CHST12,10
163,CD68,10
164,C19orf12,10
165,ZNF738,9
166,ZNF652,9
167,ZMAT3,9
168,TTC21B,9
169,TP53BP2,9
170,TNFSF15,9
171,TMEM106A,9
172,TAF11,9
173,SPTLC1,9
174,SNORD3C,9
175,RN7SL1,9
176,RINL,9
177,POFUT1,9
178,PGA3,9
179,OSCAR,9
180,MTMR12,9
181,LOC728105,9
182,LOC643509,9
183,LOC401357,9
184,LOC255167,9
185,LOC123688,9
186,LOC100132585,9
187,LOC100132540,9
188,LOC100130053,9
189,LMOD3,9
190,LEF1,9
191,KILLIN,9
192,JARID2,9
193,HNRNPU,9
194,GJC1,9
195,GABPB2,9
196,FLJ40453,9
197,FDXACB1,9
198,FCGR3A,9
199,FAM63A,9
200,FAM153B,9
201,DCLRE1C,9
202,DAPP1,9
203,CRCP,9
204,CDKN2AIPNL,9
205,CDAN1,9
206,C9orf80,9
207,C6orf61,9
208,C21orf55,9
209,C1QA,9
210,C1orf151,9
211,BCYRN1,9
212,BATF3,9
213,ZNF69,8
214,ZNF394,8
215,WDR74,8
216,TRIM34,8
217,TRIM16L,8
218,TIPRL,8
219,RPL7L1,8
220,RHBDL2,8
221,PRO1853,8
222,PPID,8
223,PNPT1,8
224,PDE4C,8
225,PCYOX1,8
226,MSH3,8
227,MCM8,8
228,LOC646996,8
229,LOC645895,8
230,LOC644852,8
231,LOC642947,8
232,LOC100190938,8
233,LIN52,8
234,ITIH5,8
235,HIATL2,8
236,GALNT6,8
237,FOXD4L4,8
238,FLJ46309,8
239,FARSLB,8
240,FAM40B,8
241,FAM115A,8
242,EID2B,8
243,DEM1,8
244,CNN2,8
245,CD84,8
246,C6orf170,8
247,C1orf210,8
248,C11orf63,8
249,BMS1P5,8
250,ANKRD30B,8
251,AMFR,8
252,ZNF763,7
253,ZNF682,7
254,ZNF483,7
255,ZNF266,7
256,ZNF14,7
257,ZC3HAV1L,7
258,TMEM17,7
259,TBCCD1,7
260,SNX15,7
261,RASSF6,7
262,PPIL3,7
263,POLR3A,7
264,PIP5K2B,7
265,PHLDB3,7
266,NFIL3,7
267,MINK1,7
268,MGC16703,7
269,MFSD11,7
270,LRAP,7
271,LOC731789,7
272,LOC730313,7
273,LOC644019,7
274,LOC643882,7
275,LOC399900,7
276,LOC202781,7
277,LOC100134868,7
278,LOC100134229,7
279,LOC100132391,7
280,LOC100131452,7
281,LOC100130276,7
282,LOC100129211,7
283,LGMN,7
284,KIAA1751,7
285,HSD17B7,7
286,GDPD1,7
287,FCAR,7
288,FAM73A,7
289,FAM102A,7
290,ENHO,7
291,CCDC125,7
292,C8orf45,7
293,C15orf63,7
294,ARSG,7
295,ZNF701,6
296,ZHX2,6
297,WNT5A,6
298,THRA,6
299,SSSCA1,6
300,SRGAP1,6
301,SMAP1,6
302,SLC47A1,6
303,SLC30A6,6
304,RAB3IP,6
305,RAB27A,6
306,PPFIBP1,6
307,PLA2G2D,6
308,NDUFC2,6
309,MBTD1,6
310,LOC90586,6
311,LOC728054,6
312,LOC441087,6
313,LOC100132620,6
314,LOC100131850,6
315,LOC100128460,6
316,LOC100128288,6
317,LOC100128126,6
318,LOC100128098,6
319,LEMD3,6
320,KIR2DL3,6
321,IL32,6
322,IL12RB1,6
323,IFT88,6
324,H6PD,6
325,GSTTP2,6
326,FGFBP2,6
327,FAM119A,6
328,DLEU2,6
329,DDX51,6
